                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                0.40836,                0.31258,                0.87357,                0.92978,                0.96479,                0.98331,                0.92245,                0.38987,                0.27972,                 0.8132,             0.00075932,             0.00075932,             0.00075932
                    112,                0.40502,                0.31438,                0.86998,                0.94294,                0.96359,                0.98652,                0.93761,                0.38795,                 0.2877,                0.80603,             0.00075107,             0.00075107,             0.00075107
                    113,                0.39196,                0.30158,                0.85709,                0.94405,                0.96453,                0.98655,                0.93239,                0.38563,                0.29008,                0.80298,             0.00074282,             0.00074282,             0.00074282
                    114,                0.40917,                0.30867,                0.86838,                0.93913,                0.96479,                 0.9866,                0.93446,                0.38645,                0.27933,                0.80277,             0.00073456,             0.00073456,             0.00073456
                    115,                0.40653,                0.30148,                0.86344,                0.96223,                0.95775,                0.98401,                0.93058,                0.38588,                0.29335,                0.80222,             0.00072631,             0.00072631,             0.00072631
                    116,                0.41552,                0.33118,                0.86867,                0.95264,                0.93985,                0.98188,                0.93172,                0.40543,                0.32205,                0.80853,             0.00071806,             0.00071806,             0.00071806
                    117,                0.39614,                0.30775,                0.85946,                0.95323,                0.93611,                0.98263,                0.93349,                0.41744,                0.34046,                 0.8108,             0.00070981,             0.00070981,             0.00070981
                    118,                0.39203,                0.30791,                 0.8582,                0.93617,                0.96453,                0.98592,                0.93686,                0.40271,                0.29365,                0.80639,             0.00070156,             0.00070156,             0.00070156
                    119,                0.38321,                0.31794,                 0.8585,                0.95317,                0.93976,                0.98179,                0.93369,                0.38778,                0.30894,                 0.8056,             0.00069331,             0.00069331,             0.00069331
                    120,                0.39904,                0.30676,                0.86646,                0.94944,                0.93636,                0.98278,                0.93347,                0.39048,                  0.294,                 0.8084,             0.00068505,             0.00068505,             0.00068505
                    121,                0.38291,                0.29519,                0.86806,                0.93257,                0.96005,                0.98429,                0.93092,                0.38241,                0.26315,                0.80368,              0.0006768,              0.0006768,              0.0006768
                    122,                0.38559,                0.29264,                0.85494,                0.95108,                0.94705,                0.98617,                0.93824,                0.36804,                0.27614,                0.79884,             0.00066855,             0.00066855,             0.00066855
                    123,                0.40115,                0.30104,                0.86483,                0.95905,                0.93604,                0.98373,                 0.9345,                0.36227,                0.28313,                0.79626,              0.0006603,              0.0006603,              0.0006603
                    124,                0.38725,                0.29546,                0.86556,                 0.9693,                0.93976,                0.98101,                0.93754,                0.36924,                0.30396,                 0.7949,             0.00065205,             0.00065205,             0.00065205
                    125,                0.38237,                0.29603,                0.85603,                0.96152,                0.94271,                0.98605,                  0.936,                0.37155,                0.27972,                0.79358,              0.0006438,              0.0006438,              0.0006438
                    126,                0.38247,                0.29826,                0.86039,                0.98247,                0.94475,                0.99024,                0.94378,                0.37269,                0.25665,                0.79544,             0.00063554,             0.00063554,             0.00063554
                    127,                0.38946,                0.30866,                0.85847,                0.93096,                0.97887,                0.98859,                0.94251,                0.36379,                0.27691,                0.79451,             0.00062729,             0.00062729,             0.00062729
                    128,                0.39238,                0.28887,                0.86621,                0.94684,                0.95045,                0.98348,                0.93072,                0.38214,                0.30272,                0.80002,             0.00061904,             0.00061904,             0.00061904
                    129,                0.39308,                0.30728,                0.86227,                0.94005,                0.96212,                0.98367,                0.92734,                0.38424,                0.30057,                0.79884,             0.00061079,             0.00061079,             0.00061079
                    130,                0.38768,                0.29559,                0.86379,                0.93477,                   0.97,                 0.9862,                0.93798,                0.36098,                0.29477,                0.79126,             0.00060254,             0.00060254,             0.00060254
                    131,                0.38137,                0.28987,                 0.8593,                0.95968,                0.94324,                0.98659,                0.93989,                0.34348,                0.29517,                0.78776,             0.00059429,             0.00059429,             0.00059429
                    132,                0.39348,                0.29379,                0.86852,                0.93889,                0.95895,                0.98527,                0.93663,                0.35709,                0.28369,                0.79155,             0.00058603,             0.00058603,             0.00058603
                    133,                0.40219,                0.30017,                0.86755,                0.95133,                 0.9484,                0.98403,                 0.9332,                0.37312,                0.29131,                0.79339,             0.00057778,             0.00057778,             0.00057778
                    134,                0.38429,                0.29423,                0.85609,                0.94848,                0.95574,                0.98517,                0.93693,                0.37005,                 0.2825,                 0.7942,             0.00056953,             0.00056953,             0.00056953
                    135,                0.37695,                0.28593,                0.85428,                0.94371,                0.96282,                0.98443,                0.93954,                0.37127,                0.27556,                0.79093,             0.00056128,             0.00056128,             0.00056128
                    136,                0.37584,                0.28966,                0.85339,                0.95218,                0.96309,                0.98591,                0.93972,                0.35899,                0.26666,                0.78647,             0.00055303,             0.00055303,             0.00055303
                    137,                0.37178,                 0.2762,                0.85079,                0.95011,                0.96114,                0.98655,                0.94621,                0.35408,                0.25658,                0.78556,             0.00054478,             0.00054478,             0.00054478
                    138,                0.37028,                0.28062,                0.85681,                0.94991,                0.95591,                0.98559,                0.94419,                0.34904,                0.26356,                0.78676,             0.00053652,             0.00053652,             0.00053652
                    139,                0.36763,                0.27925,                 0.8559,                0.97182,                0.93769,                0.98733,                0.94259,                0.34047,                0.25526,                0.78779,             0.00052827,             0.00052827,             0.00052827
                    140,                0.37854,                0.27706,                0.86325,                0.93958,                0.96987,                0.98831,                 0.9464,                0.34601,                0.25447,                0.78847,             0.00052002,             0.00052002,             0.00052002
                    141,                0.35534,                0.27289,                0.84648,                 0.9473,                0.96701,                0.98728,                 0.9457,                0.34681,                0.25644,                 0.7889,             0.00051177,             0.00051177,             0.00051177
                    142,                0.37989,                0.27277,                0.85361,                0.95181,                0.96453,                0.98687,                0.94701,                0.35199,                 0.2675,                0.78719,             0.00050352,             0.00050352,             0.00050352
                    143,                 0.3571,                0.27085,                0.84073,                0.96173,                0.95749,                0.98796,                0.94743,                0.34232,                0.27009,                0.78628,             0.00049527,             0.00049527,             0.00049527
                    144,                 0.3755,                0.27978,                0.86418,                0.96019,                0.96479,                0.98901,                0.94336,                0.35107,                0.24948,                0.79295,             0.00048701,             0.00048701,             0.00048701
                    145,                0.37535,                0.26955,                0.86019,                0.95976,                 0.9575,                0.98767,                0.94213,                0.36068,                0.26508,                 0.7966,             0.00047876,             0.00047876,             0.00047876
                    146,                0.35516,                0.27323,                0.85633,                0.93221,                  0.976,                0.98726,                0.94061,                0.35895,                0.26634,                0.79641,             0.00047051,             0.00047051,             0.00047051
                    147,                0.36567,                0.26132,                0.85268,                 0.9438,                0.96416,                0.98716,                0.94388,                0.36566,                0.26381,                0.79454,             0.00046226,             0.00046226,             0.00046226
                    148,                0.37065,                0.28207,                0.86263,                0.91367,                0.97427,                0.98476,                0.93873,                0.37529,                0.27924,                0.79601,             0.00045401,             0.00045401,             0.00045401
                    149,                0.37815,                0.27378,                0.85366,                0.98077,                0.94482,                0.98795,                0.94404,                0.36752,                0.26077,                0.79447,             0.00044576,             0.00044576,             0.00044576
                    150,                0.35934,                0.27559,                0.85784,                0.95948,                0.96036,                0.98868,                0.94333,                0.36704,                0.25237,                0.79434,              0.0004375,              0.0004375,              0.0004375
                    151,                0.34452,                0.25704,                0.83786,                0.95873,                0.97024,                0.98787,                0.94507,                0.36372,                0.26362,                 0.7932,             0.00042925,             0.00042925,             0.00042925
                    152,                0.35705,                0.26501,                0.85074,                0.94639,                0.97887,                0.98718,                0.93939,                0.35225,                0.25513,                 0.7917,               0.000421,               0.000421,               0.000421
                    153,                0.35659,                 0.2885,                0.84077,                 0.9642,                0.95749,                0.98756,                0.94244,                0.34904,                 0.2559,                0.79003,             0.00041275,             0.00041275,             0.00041275
